filename,ElectronEnergy(Hart.),ThermalCorrectionGibbs(Hart.),ZeroPointViberationEnergy(Hart.),SolvationEnergy(Hart.),GibssFreeEnergy_298K(Hart.),Voltage,idx,smiles
tp_Naph-OLi-12_mol_221_,-1103.2334508,0.159221,0.207016,-0.2747291000000587,-1103.1419429,2.5190822164087625,221,FC(F)(F)c1ccc(-c2ccc3cc(O[Na])c(O[Na])cc3c2)cc1
tp_Naph-OLi-12_mol_222_,-970.6775685,0.159677,0.204846,-0.25796869999999217,-970.5710142,2.5256483474112357,222,O=[N+](O[Na])c1ccc(-c2ccc3cc(O[Na])c(O[Na])cc3c2)cc1
tp_Naph-OLi-12_mol_223_,-919.7657653,0.203838,0.248203,-0.2862526000000116,-919.5999769,2.4659381888377685,223,[Na]Oc1cc2ccc(-c3ccc4ccccc4c3)cc2cc1O[Na]
tp_Naph-OLi-12_mol_224_,-1086.8901729,0.12952,0.170267,-0.29303460000005543,-1086.8834205,2.4520548898791668,224,[Na]Oc1cc2ccc(-c3ccsc3)cc2cc1O[Na]
tp_Naph-OLi-12_mol_225_,-766.3094504,0.175919,0.218404,-0.30943970000009813,-766.2245671000001,2.4357307208389636,225,[Na]Oc1cc2ccc(C3CCCO3)cc2cc1O[Na]
tp_Naph-OLi-12_mol_226_,-769.7072246,0.22697,0.269765,-0.3022472000000107,-769.5127368,2.4024075379607823,226,[Na]Oc1cc2ccc(C3CCCCC3)cc2cc1O[Na]
tp_Naph-OLi-12_mol_227_,-688.8906426,0.142675,0.18326,-0.3074754000000439,-688.872183,2.450272537698384,227,COCc1ccc2cc(O[Na])c(O[Na])cc2c1
tp_OLi_mol_72_,-412.9867004,-0.012436,0.014856,-0.0926264999999944,-413.0769069,5.183415724723854,72,FC(F)(F)O[Na]
tp_OLi_mol_73_,-115.0854749,0.012701,0.034985,-0.12738570000000493,-115.16517459999999,2.784600989272701,73,CO[Na]
tp_OLi_mol_74_,-306.886688,0.059156,0.088025,-0.09728999999998678,-306.836797,2.839094706430735,74,[Na]Oc1ccccc1
tp_OLi_mol_75_,-322.9362947,0.048298,0.077063,-0.09701259999997092,-322.9079463,3.0106603896984336,75,[Na]Oc1cccnc1
tp_OLi_mol_76_,-406.1429352,0.049912,0.080122,-0.09306729999997287,-406.10596849999996,2.771610226976659,76,Fc1ccc(O[Na])cc1
