canonicalsmiles,anode_limit,type,R,product,comment,molwt,capacity,NumAtoms,NumHeavyAtoms,NumHeteroatoms,NumRotatableBonds,NumHAcceptors,MolWt,HeavyAtomMolWt,TPSA,MolLogP,MolMR,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,MaxEStateIndex,MinEStateIndex,Asphericity,Eccentricity,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,InertialShapeFactor,PBF,FractionCSP2,NegativecenterType,EDGRatioNegCenter,EWGRatioNegCenter,C_ratio,H_ratio,O_ratio,N_ratio,F_ratio,S_ratio,B_ratio,Si_ratio,Se_ratio,P_ratio,idx
COCCCC(=O)[O-].[Na+],,COO-,CCCOC,COCCCCCCOC,,140.11400000000006,191.28273326640362,9.0,9.0,4.0,4.0,3.0,140.114,131.04199999999997,49.36,-3.833099999999998,26.116999999999987,48.0,1.0,-0.5501703224371594,1.6666666666666667,2.2222222222222223,2.5555555555555554,9.707457482993197,-1.0119907407407405,0.5125310326269882,0.9785064132100959,0.20621638952011748,0.967976800963003,116.95346728535881,548.9779128994439,567.1395351141545,2.0976752950794113,0.38443192155794287,0.008276597722418975,0.6785660452733435,0.2,8.0,1.0,0.04147040979573787,0.2777777777777778,0.5000000000000001,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390
O=C([O-])C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F.[Na+],,COO-,C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,FC(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,,302.02399999999994,88.73926869682177,18.0,18.0,13.0,4.0,3.0,302.02399999999994,302.02399999999994,49.36,-1.8599000000000006,26.988000000000003,102.0,1.0,-0.5437129427977535,0.8888888888888888,1.2222222222222223,1.4444444444444444,12.214583333333334,-6.950046296296295,0.41677285146208515,0.9642781668321823,0.26489170800681217,0.9755384297936898,466.68509417611267,1718.6994919787262,1761.795783219122,2.5562761069416973,0.289395954777851,0.002090356949402698,0.5945194983778891,0.2,8.0,1.0,0.11787530348749442,0.2777777777777778,0.0,0.16666666666666666,0.0,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,391
COC(=O)C(=O)[O-].[Na+],,COOCOO-,C,CC,,126.04299999999998,212.6368690755448,8.0,8.0,5.0,0.0,4.0,126.04299999999999,123.01899999999999,66.43,-5.0866999999999996,17.023,40.0,1.0,-0.5390058247577623,1.5,1.875,1.875,9.627314814814815,-1.817129629629629,0.4345276373193405,0.9680319221716052,0.25082702736497,0.7588951168905574,91.41213681367367,276.57396007603006,364.4429301498795,1.7045447611483713,0.12035824941243813,0.008301907638779098,0.2013084589247077,0.6666666666666666,8.0,1.0,0.15210988696878405,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392
O=C([O-])C(=O)OC(F)(F)F.[Na+],,COOCOO-,C(F)(F)F,FC(F)(F)C(F)(F)F,,180.01299999999998,148.8858520711776,11.0,11.0,8.0,0.0,4.0,180.01299999999998,180.01299999999998,66.42999999999999,-4.1967,17.154,58.0,1.0,-0.5390027967483759,1.2727272727272727,1.6363636363636365,1.7272727272727273,10.932222222222222,-5.266712962962963,0.4386337196770947,0.9696288303061246,0.24458113467554407,0.8898525264332249,181.61922469106176,660.7800154111593,742.5725002543381,2.0981852465894355,0.16408954675348122,0.0048995502978656765,0.21787390653930402,0.6666666666666666,8.0,1.0,0.15238598685429536,0.2727272727272727,0.0,0.36363636363636365,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,393
CCOC(=O)C(=O)[O-].[Na+],,COOCOO-,CC,CCCC,,140.07000000000002,191.34282065316546,9.0,9.0,5.0,1.0,4.0,140.07,135.02999999999997,66.43,-4.696599999999999,21.63999999999999,46.0,1.0,-0.5390056924541251,1.5555555555555556,2.0,2.111111111111111,9.858564814814814,-1.7992129629629627,0.5252687697435308,0.9805196249397337,0.1964211422124511,0.8151779616591036,110.84705622067911,460.0323383118854,564.3336301383779,2.01303404788113,0.13086614868992422,0.007354078578651761,0.28268364963084053,0.5,8.0,1.0,0.152121495116278,0.2857142857142857,0.3571428571428571,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394
O=C([O-])C(=O)OC(F)(F)C(F)(F)F.[Na+],,COOCOO-,C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,230.01999999999995,116.51764580857704,14.0,14.0,10.0,1.0,4.0,230.01999999999995,230.01999999999995,66.42999999999999,-3.5614,22.101000000000003,76.0,1.0,-0.5390036357966077,1.0714285714285714,1.4285714285714286,1.6428571428571428,11.682222222222222,-6.154652777777778,0.3355177419371998,0.9476220385432116,0.3193939136351976,0.9514769232471781,342.53154631616434,1020.4041088154491,1072.4423093027185,2.3008345418143485,0.32468321449610865,0.0027777789622008813,0.5058821058060137,0.5,8.0,1.0,0.15231151859466865,0.2857142857142857,0.0,0.2857142857142857,0.0,0.3571428571428571,0.0,0.0,0.0,0.0,0.0,395
CCCOC(=O)C(=O)[O-].[Na+],,COOCOO-,CCC,CCCCCC,,154.09700000000007,173.92544234403576,10.0,10.0,5.0,2.0,4.0,154.09699999999998,147.041,66.43,-4.306499999999999,26.25699999999999,52.0,1.0,-0.5390056914434447,1.5,2.0,2.3,10.017453703703705,-1.7884722222222218,0.6706422366598801,0.9921112041548119,0.12536091332823496,0.8859171878203372,107.05594972955707,756.5572346742247,853.9818902663094,2.360740785839235,0.12667975274779697,0.008275272790146894,0.31775793199681474,0.4,8.0,1.0,0.15212168621115307,0.29411764705882354,0.411764705882353,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396
O=C([O-])C(=O)OC(F)(F)C(F)(F)C(F)(F)F.[Na+],,COOCOO-,C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,280.02699999999993,95.71001685154965,17.0,17.0,12.0,2.0,4.0,280.02699999999993,280.02699999999993,66.42999999999999,-2.9261,27.048000000000005,94.0,1.0,-0.5390036432399653,0.9411764705882353,1.2941176470588236,1.5294117647058822,12.104097222222222,-6.719531840513984,0.29908220489011095,0.9400014193528545,0.34117053157419513,0.8737062387250062,552.0983574631484,1413.8729305830414,1618.2474931692109,2.529777373548897,0.25721931602682624,0.001582519177813936,0.505644075657033,0.4,8.0,1.0,0.15231011247479637,0.29411764705882354,0.0,0.23529411764705882,0.0,0.411764705882353,0.0,0.0,0.0,0.0,0.0,397
COCOC(=O)C(=O)[O-].[Na+],,COOCOO-,COC,COCCOC,,156.06900000000005,171.72781839371612,10.0,10.0,6.0,2.0,5.0,156.069,151.029,75.66,-5.1126,22.97499999999999,52.0,1.0,-0.5390047174973079,1.5,2.0,2.3,9.937453703703703,-1.8684722222222219,0.41030499511994634,0.9641794511976934,0.2652507980913814,0.9366759812280158,148.4661820546488,524.2762990945132,559.7200201580574,1.9870716879803187,0.338512904083062,0.006309019119810297,0.6045962667901131,0.5,8.0,1.0,0.1522092028989394,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398
O=C([O-])C(=O)OC(F)(F)OC(F)(F)F.[Na+],,COOCOO-,C(F)(F)OC(F)(F)F,FC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,,246.01899999999995,108.94032123083541,15.0,15.0,11.0,2.0,5.0,246.01899999999995,246.01899999999995,75.66,-3.6298000000000004,23.186000000000003,82.0,1.0,-0.5390028654039204,1.0666666666666667,1.4666666666666666,1.7333333333333334,11.854097222222222,-5.782031840513984,0.38624277732773027,0.9608284537547127,0.27714379382430293,0.8632790520130014,393.3653565592047,1225.2992117170338,1419.3547368720124,2.4848257694815175,0.17525039674226367,0.002194598577678944,0.4283268368849496,0.5,8.0,1.0,0.15237920816097345,0.26666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,399
