NumAtoms,NumHeavyAtoms,NumHeteroatoms,NumRotatableBonds,NumHAcceptors,MolWt,HeavyAtomMolWt,TPSA,MolLogP,MolMR,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,MaxEStateIndex,MinEStateIndex,Asphericity,Eccentricity,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,InertialShapeFactor,PBF,FractionCSP2,NegativecenterType,EDGRatioNegCenter,EWGRatioNegCenter,C_ratio,H_ratio,O_ratio,N_ratio,F_ratio,S_ratio,B_ratio,Si_ratio,Se_ratio,P_ratio
24.0,24.0,11.0,6.0,9.0,351.34400000000005,338.24,131.48,1.82668,84.98940000000002,126.0,0.31934339366029213,-0.49280384838042846,1.4583333333333333,2.125,2.625,12.031188586545728,-0.7130587836986644,0.16227282381900285,0.8801064996488925,0.47477631499030565,0.8362304200997571,1744.4973480129495,3072.6085192804276,3674.356308293454,3.476241750093165,0.495303470072045,0.0004793532194544498,1.2905115472591822,0.5384615384615384,8.0,1.0,0.07770487376614497,0.35135135135135137,0.35135135135135137,0.13513513513513514,0.13513513513513514,0.0,0.02702702702702703,0.0,0.0,0.0,0.0
27.0,27.0,12.0,7.0,9.0,413.4810000000001,394.3290000000001,125.71999999999998,1.1687799999999997,99.20780000000005,146.0,0.24581172283633732,-0.49302966214778843,1.2962962962962963,1.9259259259259258,2.4074074074074074,12.82970564423351,-4.028098873036868,0.17942283882855656,0.8891712679753138,0.4575745362311726,0.8946945230287382,2059.0436012441664,4026.0435991128097,4499.908622983144,3.577688860020534,0.42853936416607524,0.00043451946451649864,1.2662707820985615,0.4666666666666667,8.0,1.0,0.07769914659973517,0.326086956521739,0.4130434782608694,0.10869565217391304,0.10869565217391304,0.0,0.043478260869565216,0.0,0.0,0.0,0.0
22.0,22.0,8.0,6.0,7.0,325.39,306.238,73.78,2.3638200000000005,84.90900000000005,120.0,0.22544204443567525,-0.4924139668371726,1.1818181818181819,1.8181818181818181,2.3636363636363638,12.073280423280423,-0.17411470143612928,0.21759589346906158,0.8980080371472566,0.4399790508864387,0.6569308913959423,1446.79990953635,2160.210928971251,3288.338175695956,3.255075211889704,0.20118247484045196,0.0004540578742546827,0.7568769845754314,0.5,8.0,1.0,0.07773692155250726,0.34146341463414637,0.4634146341463416,0.0975609756097561,0.07317073170731708,0.0,0.024390243902439025,0.0,0.0,0.0,0.0
25.0,25.0,11.0,6.0,7.0,379.36,363.232,73.78,3.074200000000002,85.17400000000004,138.0,0.4218273102956276,-0.4921032077916383,1.16,1.76,2.24,13.5492956928333,-4.743919871189218,0.1768577344703634,0.8893606934960937,0.45720625199590964,0.8369130231651213,1822.1499229074943,3335.4333935360246,3985.400276030775,3.471388369321861,0.5002094962491811,0.00045929976048826425,1.2883345450970112,0.5,8.0,1.0,0.0777453552191605,0.34146341463414637,0.39024390243902446,0.0975609756097561,0.07317073170731708,0.07317073170731708,0.024390243902439025,0.0,0.0,0.0,0.0
23.0,23.0,9.0,6.0,8.0,336.373,320.245,97.57,1.92708,84.88700000000004,122.0,0.22544205185523258,-0.4914315051273078,1.2608695652173914,1.9130434782608696,2.4347826086956523,12.077813602292768,-0.2520271164021155,0.1461726795477882,0.8665534708714797,0.4990842435106437,0.7737470777873429,1640.9567979934468,2544.0304792864627,3287.935492514604,3.3328800588474383,0.4230715438448784,0.0004715219064471878,1.181340007616723,0.5,8.0,1.0,0.07778956295403458,0.35897435897435903,0.41025641025641035,0.10256410256410256,0.10256410256410256,0.0,0.02564102564102564,0.0,0.0,0.0,0.0
23.0,23.0,9.0,7.0,8.0,341.389,322.23699999999997,83.01,2.064,86.72400000000005,126.0,0.22544207255298562,-0.49070845250125633,1.0434782608695652,1.6521739130434783,2.1739130434782608,12.11157131834215,-0.20993527966742165,0.15605886921593695,0.8750763966658559,0.483984813809588,0.7933650549900558,1645.7756737058203,2697.813796249835,3400.469656788261,3.3677866459851287,0.5714213477542015,0.00048206147876983903,1.3325109706587441,0.5,8.0,1.0,0.07783556205811698,0.33333333333333337,0.45238095238095255,0.11904761904761904,0.07142857142857142,0.0,0.023809523809523808,0.0,0.0,0.0,0.0
26.0,26.0,12.0,7.0,8.0,395.359,379.231,83.01,2.9540000000000015,86.85500000000003,144.0,0.572809290982574,-0.4907084143763191,1.1153846153846154,1.7307692307692308,2.230769230769231,12.833491201092212,-4.984187135215273,0.23734098351562882,0.9163264077736472,0.400432159568439,0.7363595778544268,1937.0270735310621,3562.022689923704,4837.341425370705,3.615544040311895,0.3056340122478359,0.00038014934737700697,0.9854780615399543,0.5,8.0,1.0,0.07783556227124648,0.33333333333333337,0.38095238095238104,0.11904761904761904,0.07142857142857142,0.07142857142857142,0.023809523809523808,0.0,0.0,0.0,0.0
23.0,23.0,9.0,7.0,8.0,357.45700000000005,338.305,73.78,2.777300000000001,91.95300000000005,126.0,0.22544205100991951,-0.4915860559840396,1.2173913043478262,1.8695652173913044,2.391304347826087,12.137612985008818,-0.17592167422524474,0.12826537720045594,0.8534215729469293,0.5212212762625764,0.811914875596356,1813.1181275485899,2824.323652951785,3478.5957713575617,3.3693422121652086,0.44773143517083325,0.0004478003188320103,1.245500156961167,0.5,8.0,1.0,0.07778300929039221,0.33333333333333337,0.45238095238095255,0.09523809523809523,0.07142857142857142,0.0,0.047619047619047616,0.0,0.0,0.0,0.0
26.0,26.0,12.0,7.0,8.0,411.427,395.29900000000004,73.78,3.6673000000000027,92.08400000000003,144.0,0.44613033195769813,-0.4915823955175645,1.1923076923076923,1.8076923076923077,2.3076923076923075,13.018676386277395,-4.567520468548607,0.2654061428744211,0.9297182894108481,0.3682715062762345,0.8226791689566492,1905.5423385463976,4256.777841267989,5174.286650124599,3.7117622468307885,0.34271212925504185,0.0004317296720807644,1.0906561266836257,0.5,8.0,1.0,0.07778305156661341,0.33333333333333337,0.38095238095238104,0.09523809523809523,0.07142857142857142,0.07142857142857142,0.047619047619047616,0.0,0.0,0.0,0.0
22.0,22.0,9.0,6.0,7.0,390.259,374.13100000000003,73.78,2.8179000000000007,87.87200000000004,120.0,0.22544205085373106,-0.4915839604627964,1.2272727272727273,1.8636363636363635,2.409090909090909,12.061561673280423,-0.18942082388510895,0.21394436557059118,0.9089892551044383,0.4168195462123606,0.8411648249093578,1739.6971449787363,3510.804753877333,4173.741756564357,3.4748158306999573,0.5745531619184066,0.0004835122178231999,1.3457516695060652,0.5384615384615384,8.0,1.0,0.0777823715824051,0.3421052631578947,0.42105263157894723,0.10526315789473684,0.07894736842105263,0.0,0.02631578947368421,0.0,0.0,0.0,0.0
