NumAtoms,NumHeteroatoms,NumHAcceptors,TPSA,MolLogP,MinPartialCharge,FpDensityMorgan1,MaxEStateIndex,MinEStateIndex,Eccentricity,NPR2,SpherocityIndex,PBF,FractionCSP2,NegativecenterType,EDGRatioNegCenter,EWGRatioNegCenter,C_ratio,O_ratio,N_ratio,F_ratio,S_ratio,B_ratio,Si_ratio,P_ratio
0.25,0.3125,1.0,0.8543271635817906,0.11349480375945648,0.01462797587751119,0.9488304093567251,0.029499125457432385,0.9033226745383118,0.6255078347762417,0.6770877743466028,0.6049394217666885,0.7682490130990134,0.7384615384615381,1.0,0.0,0.31380664964726346,0.3539668700959022,0.8856548856548857,0.47027027027027024,0.0,0.09808685089583971,0.0,0.0,0.0
0.4375,0.375,1.0,0.7966983491745869,0.019551229876883763,0.0136079827016089,0.7498375568551007,0.3333875864330391,0.4152725464503002,0.6652521657344037,0.8442129555916094,0.4950401250974422,0.7435396053308145,0.31999999999999984,1.0,0.0,0.31378154046715945,0.18557152875175253,0.6822742474916387,0.275098814229249,0.0,0.2877381533952126,0.0,0.0,0.0
0.125,0.125,0.6000000000000001,0.2770385192596298,0.1901946840988471,0.01638905766707932,0.609250398724083,0.045517848366097624,0.9826676360748151,0.7039968380661721,0.16454307203295016,0.12079168889454717,0.22429778378807974,0.5142857142857142,1.0,0.0,0.3139471543195789,0.28806058221872544,0.5966228893058161,0.012860310421286103,0.0,0.06768977802137574,0.0,0.0,0.0
0.3125,0.3125,0.6000000000000001,0.2770385192596298,0.2916320393423524,0.01779274580133583,0.5824561403508771,0.607239109449413,0.3098872357386925,0.6660826988841433,0.6790390599270204,0.6130151507679505,0.7660299233227252,0.5142857142857142,1.0,0.0,0.3139841294028541,0.28806058221872544,0.5966228893058161,0.012860310421286103,0.18292682926829268,0.06768977802137574,0.0,0.0,0.0
0.1875,0.1875,0.8,0.5150575287643819,0.12783122999111823,0.020826804095755325,0.7063310450038139,0.04724302227456434,0.9711971370524678,0.5660847980456767,0.49847321625715346,0.4860396359954139,0.6569668785692906,0.5142857142857142,1.0,0.0,0.3141779460125904,0.40477667493796554,0.6351084812623273,0.22983682983682974,0.0,0.08210890233362142,0.0,0.0,0.0
0.1875,0.1875,0.8,0.36938469234617305,0.14738245986800202,0.02409280843647066,0.4393592677345538,0.06009006201846567,0.9773940232910074,0.6034534291353668,0.5545530640852563,0.7302358083161671,0.811060404238386,0.5142857142857142,1.0,0.0,0.31437961638610207,0.23387096774193594,0.7619047619047618,0.0,0.0,0.06099518459069023,0.0,0.0,0.0
0.375,0.375,0.8,0.36938469234617305,0.274468309929546,0.024092980645527007,0.5276653171390014,0.3348282407517553,0.27451436970295107,0.7843134395029101,0.39159750296387874,0.2927276467168557,0.45731836665903636,0.5142857142857142,1.0,0.0,0.3143796173205095,0.23387096774193594,0.7619047619047618,0.0,0.17857142857142852,0.06099518459069023,0.0,0.0,0.0
0.1875,0.1875,0.8,0.2770385192596298,0.24923677093418106,0.02012870308517778,0.6529366895499619,0.07000063553519098,0.9824016081302314,0.5085082027673518,0.607579485009839,0.5266318775283026,0.7223674252152286,0.5142857142857142,1.0,0.0,0.3141492132835299,0.23387096774193594,0.5787545787545786,0.0,0.0,0.3354735152487962,0.0,0.0,0.0
0.375,0.375,0.8,0.2770385192596298,0.37632262099572505,0.020145237288866635,0.622132253711201,0.4053034302040164,0.33585728398344405,0.8430299291885972,0.638350238150424,0.3537613253023364,0.5645298215237975,0.5142857142857142,1.0,0.0,0.3141493986319512,0.23387096774193594,0.5787545787545786,0.0,0.17857142857142852,0.3354735152487962,0.0,0.0,0.0
0.125,0.1875,0.6000000000000001,0.2770385192596298,0.2550341703864267,0.020138168484002072,0.6650717703349281,0.041058090283571325,0.9804142228971643,0.7521438116122958,0.6911932383292194,0.7353910361032308,0.8245570832741562,0.7384615384615381,1.0,0.0,0.31414641742890365,0.29233870967741904,0.6558704453441294,0.05550239234449761,0.0,0.08988764044943817,0.0,0.0,0.0
0.25,0.1875,0.8,0.3094547273636817,0.15557878323152186,0.023848962879062352,0.48830409356725146,0.09250130800093803,0.9811340632178027,0.8047088977001358,0.23040755444314542,0.07447280487779212,0.22139548105529006,0.31999999999999984,1.0,0.0,0.31437396391662337,0.18557152875175253,0.5150501672240801,0.11462450592885376,0.0,0.037127503663898415,0.0,0.0,0.0
0.25,0.3125,1.0,0.7086543271635817,0.1330460336363402,0.02447764357490767,0.6929824561403509,0.045517848366097624,0.9176769164799472,0.4574669690411257,0.6473818891275565,0.6575925709026434,0.775186371798158,0.7384615384615381,1.0,0.0,0.3143887358396603,0.17832661290322616,0.9999999999999999,0.21090909090909093,0.0,0.0747191011235955,0.0,0.0,0.0
0.4375,0.375,1.0,0.651025512756378,0.039102459753767554,0.020862795154352298,0.5224171539961014,0.3604500591827078,0.4296267883919356,0.8199568753479478,0.5513516351332102,0.23932848573402304,0.49998667554252507,0.31999999999999984,1.0,0.0,0.3141665433187772,0.05250164581961858,0.7880690737833593,0.07532467532467524,0.0,0.2570511350607658,0.0,0.0,0.0
0.3125,0.3125,0.6000000000000001,0.2770385192596298,0.3172805341603911,0.02369696060930293,0.6807017543859649,0.3377889984075422,0.28144749224179344,0.5209824403455521,0.27615911251776426,0.5144225807508568,0.5399929337573257,0.5142857142857142,1.0,0.0,0.31436996641841636,0.28806058221872544,0.5966228893058161,0.012860310421286103,0.18292682926829268,0.06768977802137574,0.0,0.0,0.0
